A, b ready
BICGSTAB: system of size 252004
    k     ‖rₖ‖      |αₖ|      |ωₖ|  timer
  953  1.8e+05   2.4e-07   2.4e-06  3.18s
  954  1.4e+05   6.7e-06   5.4e-07  3.18s
  955  1.7e+05   1.1e-07   2.2e-05  3.18s
  956  1.7e+05   1.7e-06   6.8e-07  3.18s
  957  1.4e+05   8.8e-06   2.3e-06  3.19s
  958  8.4e+04   7.5e-06   7.2e-07  3.19s
  959  9.5e+04   2.5e-07   1.8e-06  3.19s
  960  4.0e+04   5.7e-06   5.0e-07  3.19s
  961  6.5e+04   6.2e-06   1.5e-06  3.20s
  962  4.9e+04   2.1e-07   1.8e-05  3.20s
  963  4.9e+04   1.3e-06   5.1e-07  3.20s
  964  4.8e+04   1.1e-06   1.1e-04  3.20s
  965  4.9e+04   4.7e-06   5.7e-07  3.21s
  966  4.7e+04   4.6e-07   8.4e-07  3.21s
  967  4.8e+04   1.3e-06   2.1e-06  3.21s
  968  4.8e+04   2.8e-06   1.5e-06  3.21s
  969  4.8e+04   1.9e-06   7.4e-07  3.22s
  970  4.8e+04   2.7e-06   1.5e-06  3.22s
  971  4.8e+04   1.6e-06   5.6e-07  3.22s
  972  4.8e+04   2.0e-06   8.2e-07  3.22s
  973  4.9e+04   7.2e-06   1.2e-06  3.23s
  974  4.6e+04   2.0e-06   5.1e-07  3.23s
  975  3.4e+04   3.9e-07   1.7e-02  3.23s
  976  2.9e+04   8.7e-07   5.0e-07  3.23s
  977  2.9e+04   1.6e-06   9.1e-07  3.24s
  978  3.8e+04   2.0e-04   1.1e-06  3.24s
  979  2.3e+04   3.6e-07   2.8e-06  3.24s
  980  3.2e+04   4.6e-06   7.0e-07  3.24s
  981  1.1e+05   5.2e-06   1.2e-05  3.25s
  982  1.1e+05   5.0e-07   1.4e-06  3.25s
  983  9.6e+04   3.4e-06   5.4e-07  3.25s
  984  1.0e+05   4.6e-07   6.6e-05  3.25s
  985  9.3e+04   2.4e-06   8.4e-07  3.26s
  986  2.6e+05   1.6e-05   6.8e-07  3.26s
  987  1.6e+04   2.1e-07   7.4e-07  3.26s
  988  1.3e+04   1.2e-06   8.1e-07  3.26s
  989  1.2e+04   9.8e-07   5.1e-06  3.27s
  990  1.1e+04   4.3e-06   5.0e-07  3.27s
  991  1.0e+04   6.1e-06   3.4e-06  3.27s
  992  1.2e+04   5.1e-07   4.0e-06  3.27s
  993  1.2e+04   7.3e-07   6.9e-07  3.28s
  994  1.2e+04   1.1e-06   1.2e-06  3.28s
  995  1.2e+04   1.4e-06   2.4e-06  3.28s
  996  1.2e+04   3.1e-06   7.6e-07  3.28s
  997  1.2e+04   5.5e-07   7.7e-07  3.29s
  998  1.2e+04   2.0e-05   7.3e-07  3.29s
  999  1.0e+04   3.6e-06   1.7e-05  3.29s
 1000  1.1e+04   9.1e-07   6.1e-07  3.30s
 1001  1.1e+04   5.8e-07   1.3e-06  3.30s
 1002  1.0e+04   1.3e-05   5.4e-07  3.30s
 1003  7.9e+03   1.2e-06   5.2e-03  3.30s
 1004  8.7e+03   6.8e-06   5.0e-07  3.31s
 1005  5.9e+03   7.3e-07   5.3e-07  3.31s
 1006  5.9e+03   3.6e-07   3.0e-06  3.31s
 1007  5.9e+03   1.3e-06   5.3e-06  3.31s
 1008  5.9e+03   9.6e-07   6.7e-07  3.32s
 1009  5.9e+03   2.2e-06   3.2e-06  3.32s
 1010  5.9e+03   5.3e-07   4.0e-06  3.33s
 1011  5.9e+03   1.1e-05   5.2e-07  3.33s
 1012  5.9e+03   5.6e-07   1.5e-06  3.34s
 1013  4.1e+03   3.9e-04   5.0e-07  3.34s
 1014  6.1e+03   8.2e-08   9.0e-05  3.34s
 1015  6.1e+03   7.3e-07   5.5e-07  3.35s
 1016  6.0e+03   2.7e-06   1.4e-06  3.35s
 1017  6.0e+03   1.0e-06   8.7e-07  3.35s
 1018  6.0e+03   2.3e-06   1.4e-05  3.36s
 1019  6.0e+03   5.6e-06   6.5e-07  3.36s
 1020  6.0e+03   9.7e-07   6.9e-07  3.36s
 1021  4.5e+03   7.4e-05   5.2e-07  3.37s
 1022  5.4e+03   1.9e-07   5.0e-06  3.37s
 1023  6.0e+03   2.9e-06   6.0e-07  3.37s
 1024  6.2e+03   9.9e-07   2.4e-06  3.38s
 1025  6.3e+03   1.4e-06   9.9e-07  3.38s
 1026  6.3e+03   1.1e-06   2.0e-06  3.39s
 1027  6.3e+03   3.8e-06   5.7e-07  3.39s
 1028  6.4e+03   4.2e-06   9.0e-07  3.39s
 1029  6.6e+03   2.7e-06   9.6e-07  3.40s
 1030  5.5e+03   6.0e-06   5.4e-07  3.40s
 1031  5.8e+03   5.3e-07   8.8e-05  3.40s
 1032  5.8e+03   1.1e-08   5.0e-07  3.40s
 1033  4.8e+03   2.0e-03   1.2e-04  3.41s
 1034  4.9e+03   2.7e-07   1.0e-06  3.41s
 1035  3.9e+03   6.2e-06   5.0e-07  3.41s
 1036  3.8e+03   8.6e-07   1.1e-05  3.41s
 1037  3.8e+03   4.5e-07   2.5e-06  3.42s
 1038  3.8e+03   2.0e-08   8.9e-07  3.42s
 1039  4.0e+03   1.9e-03   5.3e-07  3.42s
 1040  4.0e+03   1.6e-07   5.7e-06  3.42s
 1041  3.6e+03   3.7e-06   1.6e-06  3.43s
 1042  3.6e+03   1.3e-06   5.7e-07  3.43s
 1043  3.6e+03   2.1e-06   1.1e-06  3.43s
 1044  3.6e+03   3.6e-06   6.3e-07  3.43s
 1045  3.7e+03   2.7e-06   6.4e-07  3.44s
 1046  3.1e+03   5.4e-06   2.0e-05  3.44s
 1047  3.0e+03   1.0e-06   6.7e-06  3.44s
 1048  3.0e+03   4.4e-07   8.5e-07  3.44s
 1049  3.2e+03   1.3e-05   5.0e-07  3.45s
 1050  7.1e+03   1.2e-05   2.1e-06  3.45s
 1051  1.0e+04   5.3e-06   8.7e-07  3.45s
 1052  2.5e+04   4.8e-07   4.6e-05  3.45s
 1053  8.4e+03   3.3e-06   5.0e-07  3.46s
 1054  7.8e+04   1.5e-05   1.8e-06  3.46s
 1055  1.6e+04   2.6e-08   4.9e-05  3.46s
 1056  7.9e+03   1.1e-05   5.4e-07  3.46s
 1057  9.2e+03   4.0e-07   1.6e-06  3.47s
 1058  2.4e+03   9.9e-06   5.7e-07  3.47s
 1059  1.6e+03   1.7e-06   8.9e-07  3.47s
 1060  2.8e+03   1.1e-07   5.9e-06  3.48s
 1061  1.7e+03   6.2e-06   5.6e-07  3.48s
 1062  1.8e+03   4.4e-07   4.3e-04  3.48s
 1063  2.2e+03   2.0e-05   5.0e-07  3.48s
 1064  2.0e+03   3.0e-07   1.8e-06  3.49s
 1065  1.9e+03   5.9e-07   3.4e-06  3.49s
 1066  1.9e+03   7.4e-07   5.0e-06  3.49s
 1067  1.9e+03   1.2e-06   1.2e-06  3.49s
 1068  1.9e+03   7.5e-08   1.0e-06  3.50s
 1069  2.0e+03   7.9e-04   5.0e-07  3.50s
 1070  1.9e+03   1.8e-06   4.7e-06  3.50s
 1071  1.7e+03   1.8e-05   5.3e-07  3.50s
 1072  1.8e+03   2.1e-07   1.3e-06  3.51s
 1073  1.7e+03   2.1e-06   1.5e-05  3.51s
 1074  1.7e+03   3.5e-06   5.3e-07  3.51s
 1075  1.6e+03   2.3e-06   9.0e-07  3.51s
 1076  1.6e+03   6.6e-07   5.1e-05  3.52s
 1077  1.6e+03   2.1e-06   6.8e-07  3.52s
 1078  1.6e+03   1.7e-07   6.2e-07  3.52s
 1079  1.6e+03   3.5e-05   7.4e-07  3.52s
 1080  1.5e+03   3.1e-06   6.6e-07  3.53s
 1081  1.1e+03   3.5e-06   4.7e-06  3.53s
 1082  1.1e+03   3.1e-07   9.7e-07  3.53s
 1083  1.7e+03   1.5e-04   5.0e-07  3.54s
 1084  1.1e+03   1.2e-07   8.6e-05  3.54s
 1085  1.1e+03   2.1e-07   5.2e-07  3.54s
 1086  1.1e+03   4.1e-06   2.5e-06  3.55s
 1087  1.0e+03   9.1e-06   1.3e-06  3.55s
 1088  1.1e+03   1.0e-06   6.0e-07  3.55s
 1089  1.4e+03   2.6e-06   7.3e-05  3.56s
 1090  1.4e+03   1.1e-06   8.9e-07  3.56s
 1091  1.3e+03   4.0e-06   6.0e-07  3.56s
 1092  1.3e+03   2.0e-06   7.3e-07  3.57s
 1093  1.3e+03   2.8e-07   5.3e-06  3.57s
 1094  1.3e+03   1.2e-07   5.2e-07  3.57s
 1095  1.3e+03   4.6e-06   2.8e-05  3.58s
 1096  1.3e+03   4.8e-06   1.2e-05  3.58s
 1097  1.3e+03   6.5e-06   6.0e-07  3.59s
 1098  1.3e+03   8.0e-07   7.5e-07  3.59s
 1099  1.3e+03   3.4e-06   1.7e-06  3.59s
 1100  1.3e+03   5.5e-06   5.1e-07  3.60s
 1101  1.4e+03   8.7e-06   1.0e-06  3.60s
 1102  1.3e+03   2.5e-07   2.3e-04  3.61s
 1103  1.3e+03   1.4e-06   5.7e-07  3.61s
 1104  1.9e+03   7.0e-05   1.3e-06  3.61s
 1105  1.3e+03   2.3e-07   1.1e-06  3.62s
 1106  1.7e+03   1.1e-05   5.0e-07  3.62s
 1107  3.9e+02   1.9e-06   2.3e-06  3.63s
 1108  3.6e+02   3.9e-08   2.2e-06  3.63s
 1109  4.1e+02   2.4e-04   5.0e-07  3.64s
 1110  4.3e+02   1.7e-07   2.1e-06  3.64s
 1111  3.2e+02   1.6e-06   3.1e-06  3.65s
 1112  3.6e+02   4.8e-06   5.7e-07  3.65s
 1113  3.5e+02   7.1e-07   1.6e-06  3.65s
 1114  9.0e+02   9.1e-06   1.3e-06  3.66s
 1115  9.0e+02   4.6e-08   9.0e-07  3.66s
 1116  9.2e+02   8.1e-06   1.0e-05  3.67s
 1117  8.8e+02   6.1e-06   5.1e-07  3.67s
 1118  8.6e+02   9.6e-07   4.1e-05  3.68s
 1119  8.5e+02   1.9e-06   5.4e-07  3.68s
 1120  8.0e+02   1.0e-05   7.0e-07  3.69s
 1121  8.0e+02   2.8e-07   4.0e-06  3.69s
 1122  8.2e+02   2.1e-06   2.2e-06  3.69s
 1123  8.1e+02   1.8e-06   5.6e-07  3.70s
 1124  7.5e+02   1.1e-05   1.6e-06  3.70s
 1125  1.6e+03   3.5e-05   5.0e-07  3.71s
 1126  1.5e+03   2.3e-07   2.0e-03  3.71s
 1127  1.5e+03   3.9e-08   1.1e-06  3.72s
 1128  1.3e+03   4.5e-05   5.3e-07  3.72s
 1129  1.2e+03   9.5e-07   6.0e-06  3.72s
 1130  1.2e+03   1.5e-06   5.1e-07  3.73s
 1131  1.2e+03   4.5e-06   7.5e-07  3.73s
 1132  1.2e+03   3.1e-06   6.0e-07  3.74s
 1133  5.9e+02   2.6e-06   6.6e-06  3.74s
 1134  7.2e+02   5.5e-07   2.9e-06  3.75s
 1135  4.8e+02   8.7e-06   5.3e-07  3.75s
 1136  3.4e+02   1.1e-06   1.7e-06  3.76s
 1137  3.8e+02   1.9e-06   5.3e-07  3.76s
 1138  3.2e+02   1.2e-06   1.1e-06  3.76s
 1139  2.2e+02   1.5e-06   6.3e-05  3.77s
 1140  2.2e+02   9.0e-07   8.9e-07  3.77s
 1141  2.2e+02   2.1e-07   1.6e-06  3.78s
 1142  2.2e+02   2.9e-05   5.4e-07  3.78s
 1143  7.2e+02   6.2e-05   7.7e-07  3.79s
 1144  2.3e+02   8.8e-08   1.0e-06  3.79s
 1145  2.3e+02   5.9e-07   6.2e-07  3.79s
 1146  2.2e+02   1.1e-06   7.6e-04  3.80s
 1147  2.2e+02   1.4e-06   5.8e-07  3.80s
 1148  1.7e+04   1.5e-03   7.2e-07  3.81s
 1149  2.1e+02   1.5e-08   8.5e-06  3.81s
 1150  3.0e+02   4.5e-06   5.0e-07  3.82s
 1151  2.4e+02   3.3e-07   8.0e-06  3.82s
 1152  2.4e+02   1.0e-06   2.5e-06  3.83s
 1153  2.2e+02   9.8e-06   9.7e-07  3.83s
 1154  2.0e+02   3.3e-06   5.6e-07  3.84s
 1155  2.9e+02   3.7e-06   1.4e-06  3.84s
 1156  3.9e+02   8.7e-07   8.5e-06  3.84s
 1157  3.0e+02   5.7e-06   5.1e-07  3.85s
 1158  3.3e+02   2.9e-07   2.6e-05  3.85s
 1159  3.0e+02   4.5e-06   5.4e-07  3.86s
 1160  2.7e+02   1.0e-06   2.8e-06  3.86s
 1161  2.6e+02   2.9e-06   8.9e-07  3.87s
 1162  2.6e+02   3.3e-07   6.8e-06  3.87s
 1163  2.8e+02   2.0e-05   5.8e-07  3.88s
 1164  2.6e+02   1.4e-06   6.2e-07  3.88s
 1165  2.4e+02   7.2e-07   6.6e-06  3.88s
 1166  2.4e+02   8.2e-07   6.0e-06  3.89s
 1167  2.5e+02   9.4e-06   6.4e-07  3.89s
 1168  2.4e+02   6.2e-07   1.7e-06  3.90s
 1169  2.3e+02   4.9e-06   5.3e-07  3.90s
 1170  2.3e+02   5.3e-06   6.4e-07  3.91s
 1171  2.3e+02   1.8e-07   6.7e-05  3.91s
 1172  2.2e+02   1.0e-05   1.0e-06  3.91s
 1173  2.2e+02   4.1e-07   5.2e-07  3.92s
 1174  2.2e+02   2.3e-06   1.0e-05  3.92s
 1175  2.2e+02   6.8e-06   7.9e-07  3.93s
 1176  2.1e+02   4.6e-06   5.0e-07  3.93s
 1177  2.1e+02   3.8e-07   2.2e-06  3.94s
 1178  2.1e+02   4.3e-07   4.6e-06  3.94s
 1179  2.0e+02   4.3e-05   9.4e-07  3.95s
 1180  2.1e+02   3.9e-07   4.8e-06  3.95s
 1181  1.9e+02   3.7e-05   5.0e-07  3.95s
 1182  2.0e+02   1.9e-07   1.1e-06  3.96s
 1183  2.0e+02   1.8e-06   2.2e-06  3.96s
 1184  1.8e+02   3.0e-05   7.1e-07  3.97s
 1185  1.8e+02   1.1e-08   2.0e-06  3.97s
 1186  2.6e+02   8.9e-05   2.2e-06  3.98s
 1187  1.8e+02   5.4e-06   5.0e-07  3.98s
 1188  7.0e+02   1.9e-06   1.1e-04  3.98s
 1189  7.5e+02   6.2e-07   5.7e-07  3.99s
 1190  6.1e+02   5.4e-06   1.4e-06  3.99s
 1191  1.9e+02   3.8e-06   6.4e-07  4.00s
 1192  2.1e+02   7.0e-07   8.4e-06  4.00s
 1193  1.8e+02   1.1e-06   5.7e-07  4.01s
 1194  3.0e+02   1.5e-06   2.9e-06  4.01s
 1195  2.7e+02   1.2e-06   5.4e-07  4.02s
 1196  2.4e+02   8.5e-06   1.5e-06  4.02s
 1197  3.7e+02   1.2e-06   1.4e-05  4.02s
 1198  4.0e+02   9.7e-07   1.5e-06  4.03s
 1199  3.8e+02   2.1e-06   5.7e-07  4.03s
 1200  3.9e+02   1.6e-06   7.8e-07  4.04s
 1201  3.4e+02   2.5e-06   3.7e-06  4.04s
 1202  3.2e+02   1.3e-06   5.2e-07  4.05s
 1203  2.8e+02   2.0e-06   4.5e-04  4.05s
 1204  2.9e+02   1.6e-06   5.0e-07  4.05s
 1205  2.9e+02   1.1e-06   3.5e-06  4.06s
 1206  2.9e+02   8.7e-07   8.8e-07  4.06s
 1207  2.9e+02   3.0e-07   1.2e-06  4.07s
 1208  2.9e+02   6.2e-05   5.6e-07  4.07s
 1209  2.6e+02   4.0e-06   6.1e-07  4.08s
 1210  1.8e+02   5.8e-06   5.4e-07  4.08s
 1211  3.3e+02   3.1e-06   6.9e-07  4.09s
 1212  2.4e+02   3.5e-07   7.6e-06  4.09s
 1213  2.5e+02   2.9e-07   4.3e-06  4.09s
 1214  2.5e+02   5.7e-07   1.4e-06  4.10s
 1215  2.5e+02   5.5e-06   7.3e-07  4.10s
 1216  2.5e+02   9.8e-07   5.1e-06  4.10s
 1217  2.5e+02   4.4e-06   5.1e-07  4.11s
 1218  2.4e+02   2.3e-06   3.2e-03  4.11s
 1219  2.4e+02   1.6e-06   5.1e-07  4.11s
 1220  2.3e+02   2.3e-06   5.8e-07  4.11s
 1221  2.3e+02   1.1e-06   8.1e-07  4.12s
 1222  2.3e+02   1.8e-06   8.4e-07  4.12s
 1223  2.3e+02   1.4e-06   1.0e-06  4.12s
 1224  2.3e+02   5.8e-07   8.1e-06  4.12s
 1225  2.3e+02   3.7e-07   6.1e-07  4.13s
 1226  2.3e+02   3.8e-05   5.8e-07  4.13s
 1227  2.3e+02   7.5e-06   1.4e-05  4.13s
 1228  2.3e+02   3.3e-07   7.9e-07  4.14s
 1229  2.3e+02   1.0e-05   5.0e-07  4.14s
 1230  2.4e+02   1.2e-06   8.4e-06  4.14s
 1231  2.4e+02   2.0e-06   1.5e-06  4.14s
 1232  2.4e+02   1.3e-06   1.4e-06  4.15s
 1233  2.4e+02   1.8e-07   4.8e-04  4.15s
 1234  2.4e+02   1.6e-07   6.5e-07  4.15s
 1235  2.4e+02   7.3e-04   5.5e-07  4.15s
 1236  2.4e+02   4.5e-07   6.3e-07  4.16s
 1237  2.4e+02   2.0e-06   5.8e-07  4.16s
 1238  2.4e+02   4.6e-09   1.0e-06  4.16s
 1239  2.5e+02   4.2e-04   6.9e-07  4.16s
 1240  2.4e+02   7.5e-07   2.3e-06  4.17s
 1241  2.4e+02   3.8e-07   6.4e-07  4.17s
 1242  2.5e+02   1.7e-05   3.1e-05  4.18s
 1243  2.3e+02   1.9e-05   5.1e-07  4.18s
 1244  2.3e+02   2.0e-07   1.1e-06  4.19s
 1245  2.8e+02   2.5e-06   8.6e-07  4.19s
 1246  2.8e+02   8.9e-07   6.1e-07  4.19s
 1247  3.3e+02   3.5e-06   3.5e-04  4.20s
 1248  1.1e+03   4.3e-05   5.0e-07  4.20s
 1249  2.8e+03   7.4e-06   6.0e-07  4.21s
 1250  1.8e+03   2.5e-07   1.9e-06  4.21s
 1251  2.1e+03   1.6e-06   5.3e-07  4.22s
 1252  5.1e+02   3.9e-06   8.5e-07  4.22s
 1253  3.9e+02   3.3e-07   1.7e-06  4.23s
 1254  2.0e+02   1.7e-06   1.3e-05  4.23s
 1255  3.9e+02   1.3e-05   5.1e-07  4.23s
 1256  2.6e+02   1.8e-07   9.6e-05  4.24s
 1257  2.7e+02   3.7e-06   1.2e-06  4.24s
 1258  2.8e+02   1.2e-06   7.6e-07  4.25s
 1259  2.8e+02   1.1e-06   1.2e-06  4.25s
 1260  2.8e+02   9.1e-07   6.8e-07  4.26s
 1261  2.8e+02   3.3e-06   2.5e-06  4.26s
 1262  2.8e+02   1.6e-07   7.5e-07  4.27s
 1263  2.8e+02   2.9e-06   7.5e-05  4.27s
 1264  2.8e+02   4.8e-05   5.0e-07  4.27s
 1265  2.8e+02   7.4e-08   7.3e-06  4.28s
 1266  2.8e+02   6.1e-06   4.6e-06  4.28s
 1267  2.8e+02   3.9e-06   5.4e-07  4.29s
 1268  2.8e+02   3.7e-06   1.7e-06  4.29s
 1269  2.8e+02   3.4e-07   3.5e-06  4.30s
 1270  2.8e+02   4.7e-06   8.6e-07  4.30s
 1271  2.8e+02   1.8e-06   6.0e-07  4.30s
 1272  2.8e+02   3.7e-07   1.8e-04  4.31s
 1273  2.8e+02   1.4e-06   5.4e-07  4.31s
 1274  2.8e+02   5.2e-07   1.6e-06  4.32s
 1275  2.8e+02   1.8e-04   5.2e-07  4.32s
 1276  2.8e+02   6.6e-07   7.0e-06  4.33s
 1277  2.8e+02   7.3e-08   1.9e-06  4.33s
 1278  2.8e+02   2.1e-04   5.0e-07  4.34s
 1279  2.2e+02   3.4e-05   6.6e-07  4.34s
 1280  2.2e+02   2.7e-08   9.3e-07  4.35s
 1281  1.6e+02   9.8e-05   5.5e-07  4.35s
 1282  3.1e+02   1.9e-07   1.6e-04  4.35s
 1283  3.1e+02   1.5e-06   2.1e-06  4.36s
 1284  3.1e+02   4.6e-07   6.3e-07  4.36s
 1285  3.0e+02   1.8e-05   5.4e-07  4.37s
 1286  3.0e+02   7.1e-07   9.9e-06  4.37s
 1287  3.0e+02   1.9e-06   1.0e-06  4.38s
 1288  3.0e+02   8.6e-07   5.5e-07  4.38s
 1289  3.0e+02   1.1e-05   5.2e-07  4.39s
 1290  2.9e+02   1.2e-06   1.6e-06  4.39s
 1291  3.0e+02   4.4e-07   1.2e-03  4.39s
 1292  3.0e+02   2.1e-07   6.3e-07  4.40s
 1293  3.1e+02   1.5e-04   9.1e-07  4.40s
 1294  3.1e+02   1.1e-06   1.3e-06  4.41s
 1295  3.0e+02   4.3e-07   5.5e-07  4.41s
 1296  3.0e+02   2.6e-06   3.6e-06  4.42s
 1297  3.0e+02   9.7e-07   9.8e-07  4.42s
 1298  3.0e+02   1.9e-07   1.5e-06  4.43s
 1299  3.0e+02   1.6e-05   2.7e-06  4.43s
 1300  3.0e+02   9.2e-06   5.0e-07  4.43s
 1301  3.0e+02   3.0e-07   5.1e-05  4.44s
 1302  3.0e+02   1.3e-05   1.4e-06  4.44s
 1303  2.9e+02   5.8e-06   5.1e-07  4.45s
 1304  2.9e+02   4.2e-07   8.4e-06  4.45s
 1305  2.9e+02   1.1e-06   6.1e-06  4.46s
 1306  2.9e+02   2.2e-06   5.2e-07  4.46s
 1307  2.8e+02   2.5e-05   5.9e-07  4.47s
 1308  2.9e+02   3.3e-07   5.4e-06  4.47s
 1309  2.9e+02   3.5e-08   9.5e-07  4.47s
 1310  2.9e+02   3.4e-07   4.0e-06  4.48s
 1311  2.9e+02   5.5e-05   4.2e-06  4.48s
 1312  2.9e+02   5.2e-05   5.0e-07  4.49s
 1313  2.8e+02   1.2e-05   7.7e-07  4.49s
 1314  2.9e+02   7.6e-08   1.4e-06  4.50s
 1315  3.0e+02   5.8e-07   1.0e-04  4.50s
 1316  2.9e+02   1.1e-06   9.3e-07  4.51s
 1317  2.9e+02   1.6e-06   5.4e-07  4.51s
 1318  2.9e+02   3.6e-06   1.1e-06  4.51s
 1319  2.9e+02   6.4e-06   5.4e-07  4.52s
 1320  2.9e+02   5.9e-08   5.9e-06  4.52s
 1321  3.0e+02   3.9e-04   5.2e-07  4.53s
 1322  3.0e+02   3.3e-07   1.6e-05  4.53s
 1323  3.0e+02   4.9e-06   7.1e-07  4.54s
 1324  3.0e+02   2.8e-06   7.5e-07  4.54s
 1325  3.0e+02   7.5e-07   7.3e-07  4.55s
 1326  3.1e+02   6.6e-06   1.6e-05  4.55s
 1327  3.0e+02   5.5e-05   5.1e-07  4.55s
 1328  3.1e+02   3.7e-08   2.6e-06  4.56s
 1329  3.0e+02   1.8e-06   6.8e-07  4.56s
 1330  3.1e+02   4.4e-06   6.4e-07  4.57s
 1331  3.1e+02   5.2e-07   1.1e-04  4.57s
 1332  3.1e+02   1.1e-06   6.6e-07  4.58s
 1333  2.9e+02   6.6e-05   8.5e-07  4.58s
 1334  2.9e+02   3.4e-08   6.2e-07  4.59s
 1335  3.0e+02   8.3e-06   1.4e-06  4.59s
 1336  3.0e+02   1.1e-07   6.9e-07  4.59s
 1337  3.0e+02   2.6e-05   6.0e-07  4.60s
 1338  3.0e+02   1.3e-06   3.6e-06  4.60s
 1339  3.0e+02   5.1e-07   7.7e-07  4.61s
 1340  3.0e+02   2.2e-06   3.0e-06  4.61s
 1341  3.0e+02   2.4e-06   5.2e-07  4.62s
 1342  3.0e+02   2.4e-06   7.9e-06  4.62s
 1343  3.0e+02   4.6e-07   1.8e-04  4.62s
 1344  3.0e+02   1.5e-06   5.0e-07  4.63s
 1345  3.0e+02   2.6e-05   1.2e-06  4.63s
 1346  3.0e+02   3.6e-07   3.3e-06  4.64s
 1347  3.0e+02   3.8e-06   5.2e-07  4.64s
 1348  3.0e+02   1.4e-05   6.4e-07  4.65s
 1349  3.0e+02   9.5e-08   1.3e-06  4.65s
 1350  3.0e+02   1.9e-05   5.2e-07  4.66s
 1351  3.1e+02   2.7e-06   1.5e-06  4.66s
 1352  3.1e+02   1.4e-06   2.6e-06  4.66s
 1353  3.1e+02   3.4e-06   5.1e-07  4.67s
 1354  3.1e+02   1.4e-06   2.3e-04  4.67s
 1355  2.8e+02   7.6e-06   5.0e-07  4.68s
 1356  6.7e+02   8.7e-06   1.6e-06  4.68s
 1357  3.5e+02   2.1e-07   8.3e-06  4.69s
 1358  3.5e+02   1.4e-06   5.8e-07  4.69s
 1359  3.5e+02   7.2e-07   4.5e-06  4.69s
 1360  3.4e+02   2.3e-06   6.0e-07  4.70s
 1361  3.4e+02   8.9e-07   8.3e-07  4.70s
 1362  3.4e+02   3.3e-06   8.0e-06  4.71s
 1363  3.4e+02   9.2e-07   4.9e-06  4.71s
 1364  3.4e+02   3.7e-06   5.3e-07  4.72s
 1365  3.4e+02   5.2e-06   5.7e-07  4.72s
 1366  3.4e+02   2.4e-07   1.8e-05  4.73s
 1367  3.4e+02   5.9e-06   1.1e-06  4.73s
 1368  3.4e+02   9.6e-06   5.1e-07  4.73s
 1369  3.3e+02   1.0e-06   3.9e-06  4.74s
 1370  3.4e+02   9.8e-07   3.3e-06  4.74s
 1371  3.4e+02   1.8e-06   5.1e-07  4.75s
 1372  3.4e+02   1.1e-05   1.2e-06  4.75s
 1373  3.4e+02   3.4e-07   3.5e-05  4.76s
 1374  3.4e+02   3.7e-07   5.1e-07  4.76s
 1375  3.4e+02   4.4e-06   8.8e-06  4.77s
 1376  3.4e+02   6.8e-07   3.3e-06  4.77s
 1377  3.4e+02   1.9e-06   1.1e-06  4.77s
 1378  3.4e+02   2.7e-05   5.0e-07  4.78s
 1379  3.5e+02   1.9e-06   2.2e-06  4.78s
 1380  3.4e+02   1.1e-06   1.2e-06  4.79s
 1381  3.4e+02   5.9e-07   6.6e-06  4.79s
 1382  3.4e+02   2.0e-06   5.3e-07  4.80s
 1383  3.5e+02   8.3e-06   8.1e-07  4.80s
 1384  3.4e+02   3.0e-06   5.2e-06  4.80s
 1385  3.4e+02   4.6e-07   1.6e-06  4.81s
 1386  3.5e+02   1.0e-05   5.8e-07  4.81s
 1387  3.5e+02   1.4e-06   2.1e-05  4.82s
 1388  2.1e+02   2.8e-05   5.8e-07  4.82s
 1389  5.5e+02   4.8e-07   7.1e-07  4.83s
 1390  2.9e+02   1.4e-06   5.0e-07  4.83s
 1391  3.1e+02   6.8e-07   1.1e-04  4.84s
 1392  3.2e+02   1.4e-06   6.3e-07  4.84s
 1393  3.3e+02   5.9e-06   6.9e-07  4.84s
 1394  3.2e+02   3.2e-07   2.3e-06  4.85s
 1395  3.1e+02   5.3e-05   5.2e-07  4.85s
 1396  3.1e+02   6.0e-08   1.5e-06  4.85s
 1397  3.1e+02   5.5e-07   5.2e-03  4.86s
 1398  3.1e+02   4.0e-07   5.6e-07  4.86s
 1399  3.0e+02   4.1e-06   7.5e-07  4.87s
 1400  3.0e+02   1.3e-06   1.3e-06  4.87s
 1401  3.0e+02   3.6e-06   5.0e-07  4.87s
 1402  3.0e+02   3.4e-06   1.9e-06  4.88s
 1403  3.0e+02   8.7e-06   5.4e-07  4.88s
 1404  3.0e+02   3.6e-07   1.1e-04  4.89s
 1405  3.0e+02   4.3e-06   7.5e-07  4.89s
 1406  3.0e+02   2.9e-06   5.6e-07  4.89s
 1407  3.0e+02   9.6e-07   7.8e-07  4.89s
 1408  3.0e+02   2.5e-06   3.0e-06  4.90s
 1409  3.0e+02   8.7e-06   5.9e-07  4.90s
 1410  3.0e+02   2.9e-07   2.3e-06  4.90s
 1411  3.0e+02   7.6e-06   6.6e-07  4.90s
 1412  3.0e+02   7.2e-06   2.3e-06  4.91s
 1413  3.0e+02   2.5e-07   2.3e-06  4.91s
 1414  3.0e+02   2.9e-06   5.0e-07  4.91s
 1415  3.0e+02   7.8e-08   3.9e-05  4.92s
 1416  3.0e+02   1.6e-05   9.0e-07  4.92s
 1417  3.0e+02   3.5e-06   1.4e-06  4.93s
 1418  3.0e+02   2.6e-06   1.4e-06  4.93s
