A, b ready
BICGSTAB: system of size 252004
    k     ‖rₖ‖      |αₖ|      |ωₖ|  timer
  271  1.7e+05   1.8e-06   5.9e-07  1.17s
  272  1.7e+05   1.1e-06   2.2e-06  1.17s
  273  1.7e+05   1.1e-05   5.2e-07  1.18s
  274  1.7e+05   9.3e-07   5.2e-05  1.18s
  275  1.6e+05   1.4e-05   9.6e-07  1.18s
  276  1.6e+05   3.2e-07   1.3e-06  1.19s
  277  1.6e+05   5.4e-06   5.0e-07  1.19s
  278  1.6e+05   2.7e-07   1.4e-05  1.19s
  279  1.6e+05   5.6e-06   9.3e-07  1.19s
  280  1.6e+05   4.2e-06   2.3e-06  1.20s
  281  1.6e+05   6.0e-07   3.0e-06  1.20s
  282  1.6e+05   1.6e-06   6.9e-07  1.20s
  283  1.6e+05   1.9e-06   6.2e-07  1.21s
  284  1.6e+05   1.1e-05   7.8e-07  1.21s
  285  1.6e+05   1.4e-06   5.8e-07  1.22s
  286  1.5e+05   7.0e-07   1.5e-04  1.22s
  287  1.5e+05   1.1e-05   1.3e-06  1.22s
  288  1.5e+05   2.6e-07   9.9e-07  1.22s
  289  1.5e+05   1.5e-05   5.2e-07  1.23s
  290  1.5e+05   5.2e-07   6.5e-06  1.23s
  291  1.5e+05   1.7e-06   7.0e-07  1.23s
  292  1.5e+05   3.2e-07   7.0e-06  1.23s
  293  1.5e+05   2.9e-05   5.0e-07  1.24s
  294  1.5e+05   1.1e-06   7.7e-06  1.24s
  295  1.5e+05   1.2e-05   7.1e-07  1.24s
  296  1.5e+05   2.1e-07   2.8e-06  1.25s
  297  1.4e+05   1.2e-05   5.0e-07  1.25s
  298  1.4e+05   2.3e-07   4.3e-06  1.25s
  299  1.4e+05   2.2e-06   8.4e-06  1.25s
  300  1.4e+05   2.5e-05   5.3e-07  1.26s
  301  1.4e+05   1.5e-07   1.7e-06  1.26s
  302  1.4e+05   6.3e-06   1.3e-06  1.26s
  303  1.4e+05   3.1e-06   5.2e-07  1.26s
  304  1.4e+05   2.1e-07   9.4e-05  1.27s
  305  1.4e+05   6.3e-06   6.2e-07  1.27s
  306  1.4e+05   3.1e-06   1.7e-06  1.27s
  307  1.4e+05   1.9e-06   7.0e-07  1.27s
  308  1.3e+05   4.6e-06   1.8e-06  1.28s
  309  1.3e+05   1.2e-05   5.9e-07  1.28s
  310  1.3e+05   8.3e-08   5.7e-05  1.28s
  311  1.3e+05   1.6e-06   5.5e-07  1.28s
  312  1.3e+05   1.9e-06   9.2e-07  1.29s
  313  1.3e+05   4.9e-06   6.9e-07  1.29s
  314  1.3e+05   2.0e-06   2.4e-06  1.29s
  315  1.3e+05   1.5e-06   5.8e-07  1.29s
  316  1.3e+05   2.5e-06   3.4e-06  1.30s
  317  1.3e+05   3.2e-06   6.8e-07  1.30s
  318  1.3e+05   1.2e-06   2.1e-06  1.30s
  319  1.3e+05   3.6e-06   5.4e-07  1.31s
  320  1.3e+05   5.8e-06   1.8e-04  1.31s
  321  1.2e+05   1.4e-06   5.0e-07  1.31s
